Token	Class
θηρίον	Noun-N
φιλία	Noun-F
ὁπόσος	Pronoun
ἐγγύς	Adverb
σαφής	Adverb
δικαστής	Noun-M
κἀκεῖνος	Conjunction
ἐλεύθερος	Adjective
μαρτυρέω	Verb
σχεδόν	Adverb
τριάκοντα	Adjective
ἐρωτάω	Verb
δεσπότης	Noun-M
ἐράω	Verb
φιλέω	Verb
μετέχω	Verb
κατηγορέω	Verb
καρπός	Noun-M
ἀναλαμβάνω	Verb
διότι	Conjunction
δικαιοσύνη	Noun-F
ἐπιχειρέω	Verb
ἀπέχω	Verb
ἀλλότριος	Adjective
ἀγνοέω	Verb
πρόσειμι	Verb
ἐπίσταμαι	Verb
διαλέγω	Verb
ζωή	Noun-F
κρίσις	Noun-F
ἀποφαίνω	Verb
Ἀργεῖος	Noun-M
καθαρός	Adjective
γάμος	Noun-M
αὐτίκα	Adverb
ἀδύνατος	Adjective
ἀρχαῖος	Adjective
σπουδή	Noun-F
νίκη	Noun-F
Θηβαῖος	Noun-M
ποτέ	Particle
κύων	Noun-M
Ὀδυσσεύς	Noun-M
φαῦλος	Adjective
νόσος	Noun-F
ἐπιτρέπω	Verb
μάρτυς	Noun-M
χωρίς	Adverb
τέλειος	Adjective
προσφέρω	Verb
Ἀσία	Noun-F
συνεχής	Adjective
δῶρον	Noun-N
φυλακή	Noun-F
ῥῆμα	Noun-N
ἁμαρτία	Noun-F
φράζω	Verb
τάλαντον	Noun-N
νοέω	Verb
ἐπιστήμη	Noun-F
πλοῦτος	Noun-M
πάλαι	Adverb
βία	Noun-F
εὔχομαι	Verb
ἔπειμι	Verb
παρίστημι	Verb
Ἀπόλλων	Noun-M
ἁπλόος	Adverb
χαρίζω	Verb
σύνειμι	Verb
ἐκβάλλω	Verb
λαμπρός	Adjective
διέρχομαι	Verb
προφήτης	Noun-M
θεάω	Verb
ὁμοῦ	Adverb
ὕπατος	Noun-M
καταβαίνω	Verb
ἐλαύνω	Verb
γένεσις	Noun-F
διαιρέω	Verb
ἐπιστρέφω	Verb
λευκός	Adjective
Ἰερουσαλήμ	Noun-F
χείρων	Adjective
αἴσθησις	Noun-F
Ὅμηρος	Noun-M
θαρσέω	Verb
μεταξύ	Adverb
χίλιοι	Adjective
Ἀθήνη	Noun-F
χωρέω	Verb
Ἡρώδης	Noun-M
Μακεδών	Noun-M
Πομπήιος	Noun-M
ἀκριβής	Adjective
ἐξουσία	Noun-F
ἡλικία	Noun-F
φάσκω	Verb
ἰσχύς	Noun-F
μῦθος	Noun-M
φυλή	Noun-F
ἀμύνω	Verb
εἴπερ	Conjunction
ἀμείνων	Adjective
βιάζω	Verb
προσέχω	Verb
ἐπιτήδειος	Adjective
Ἰταλία	Noun-F
ἔσχατος	Adjective
ξύλον	Noun-N
ἑτοῖμος	Adjective
ἐπιθυμία	Noun-F
σκηνή	Noun-F
Ἀντώνιος	Noun-M
φόνος	Noun-M
ἀήρ	Noun-M
μῆκος	Noun-N
κάλλος	Noun-N
κἀγώ	Pronoun
ἐμπίπτω	Verb
ἠδέ	Conjunction
Διόνυσος	Noun-M
προσαγορεύω	Verb
ὑμέτερος	Adjective
ἐπιστολή	Noun-F
Τρώς	Noun-M
ἐπέρχομαι	Verb
ἐπάγω	Verb
Χριστός	Noun-M
Πλάτων	Noun-M
ὀξύς	Adjective
δαίμων	Noun-M
μέτριος	Adjective
ἀπαγγέλλω	Verb
κινδυνεύω	Verb
ἄκρος	Adjective
θύρα	Noun-F
ἀσφαλής	Adjective
σημαίνω	Verb
μισέω	Verb
κόρη	Noun-F
εὔνοια	Noun-F
ὁπότε	Adverb
φρήν	Noun-F
Καρχηδόνιος	Noun-M
Σικελία	Noun-F
χρηστός	Adjective
σάρξ	Noun-F
ἄμφω	Adjective
προσέρχομαι	Verb
οἰκοδομέω	Verb
δημόσιος	Adjective
ἀνάγω	Verb
συγγενής	Adjective
ὄχλος	Noun-M
ἐνιαυτός	Noun-M
μοῖρα	Noun-F
ἔρως	Noun-M
ἐλπίζω	Verb
βαρύς	Adjective
σύμπας	Adjective
ἀνέχω	Verb
Ἀχιλλεύς	Noun-M
πιστός	Adjective
κάθημαι	Verb
γλῶσσα	Noun-F
ἀναγιγνώσκω	Verb
θεωρέω	Verb
πληρόω	Verb
ἐπιθυμέω	Verb
προσάγω	Verb
γαῖα	Noun-F
ἐπειδάν	Conjunction
συγχωρέω	Verb
νέμω	Verb
ἀθάνατος	Adjective
λογισμός	Noun-M
κίνησις	Noun-F
εἰσάγω	Verb
χρήσιμος	Adjective
ἅτε	Adverb
ἐλευθερία	Noun-F
ἀείδω	Verb
Ἀθῆναι	Noun-F
χρυσός	Noun-M
περιέχω	Verb
φυγή	Noun-F
πέτρα	Noun-F
σῖτος	Noun-M
ὅρκος	Noun-M
πρόσθεν	Adverb
θαυμαστός	Adjective
ἔθος	Noun-N
συλλαμβάνω	Verb
δόρυ	Noun-N
πολιτικός	Adjective
στάσις	Noun-F
ἡγεμονία	Noun-F
χειμών	Noun-M
γέρων	Noun-M
ὄμνυμι	Verb
βαίνω	Verb
παρθένος	Noun-F
ἑξῆς	Adverb
Λίβυς	Noun-F
πρόσω	Adverb
γραφή	Noun-F
πεντήκοντα	Adjective
λυπέω	Verb
συμβάλλω	Verb
χάλκεος	Adjective
καταλύω	Verb
ψηφίζω	Verb
ὕβρις	Noun-F
ὕπνος	Noun-M
ὀπίσω	Adverb
τέταρτος	Adjective
θεραπεύω	Verb
φιλόσοφος	Noun-M
τελέω	Verb
ἐντεῦθεν	Adverb
κακία	Noun-F
ψευδής	Adjective
νή	Particle
μεταβάλλω	Verb
βωμός	Noun-M
ἀπάγω	Verb
ἔνειμι	Verb
παραπλήσιος	Adjective
ὑψηλός	Adjective
μνήμη	Noun-F
διαφορά	Noun-F
ἡσσάομαι	Verb
κέρας	Noun-N
ῥέω	Verb
ἐκλείπω	Verb
